District,Region,Population,Health_Facilities,Doctors,Nurses,Hospital_Beds,Disease_Cases,Medicine_Stock,Emergency_Visits,Budget_Million_UGX,Resource_Need_Level
Mbarara,Western,791282,76,189,177,336,17410,60,9090,7091,Medium
Mbarara,Northern,888202,34,105,53,355,25402,49,4868,2029,Medium
Masaka,Central,257781,64,43,208,460,22335,83,6676,1136,Medium
Kampala,Western,178059,31,172,556,558,5279,58,8126,3050,Low
Kampala,Eastern,147508,30,129,306,904,20354,78,9666,4629,Medium
Wakiso,Northern,196494,65,74,252,612,20151,42,9604,5105,Medium
Wakiso,Central,411023,29,43,327,71,11770,61,5838,3883,Low
Lira,Northern,395563,51,50,132,826,20044,91,1237,6128,Medium
Masaka,Eastern,150315,75,33,185,629,26272,69,688,476,Medium
Kampala,Central,483071,21,111,381,98,25057,86,2785,3144,Medium
Gulu,Central,397740,5,170,511,330,10267,56,1640,1072,Low
Mbarara,Central,210511,68,74,568,574,8205,60,7764,2214,Low
Gulu,Central,581400,37,98,222,310,26958,75,3433,1241,Medium
Mbarara,Northern,149608,6,32,74,520,46467,76,3555,5843,High
Mbarara,Central,836476,26,44,290,51,28287,65,8588,1097,Medium
Arua,Central,138422,79,60,259,269,39513,89,8504,6022,High
Kampala,Northern,126601,48,30,62,240,41017,89,2962,6873,High
Arua,Western,138083,64,156,207,31,21306,100,6849,6643,Medium
Mbale,Central,142325,36,42,543,715,11453,49,5741,6509,Low
Gulu,Northern,257828,33,180,359,745,4883,40,7959,509,Low
Lira,Western,122391,13,55,71,886,24460,90,6839,956,Medium
Jinja,Northern,892367,68,177,528,158,17493,93,5063,7611,Medium
Kampala,Eastern,876797,80,47,465,415,42427,90,8504,2649,High
Kabale,Central,121336,37,197,257,265,13477,77,7602,4800,Medium
Mbarara,Eastern,652935,11,105,424,832,41575,83,5713,6964,High
Mbale,Eastern,141329,34,172,367,699,39485,97,7089,6695,High
Arua,Central,365065,67,159,36,993,7748,96,7888,3629,Low
Mbale,Western,529706,23,90,578,238,5945,62,6553,7118,Low
Lira,Central,356322,47,27,297,211,46452,96,7342,3537,High
Masaka,Northern,176574,32,179,62,404,12565,64,4547,2925,Medium
Gulu,Western,225548,33,94,423,335,33246,60,8402,6677,High
Kabale,Northern,220093,55,139,29,20,11991,46,4128,3923,Low
Kabale,Western,822366,50,178,123,585,48640,95,8519,5656,High
Mbale,Northern,839921,37,175,446,97,34203,79,5525,3838,High
Arua,Western,429397,44,174,404,980,34721,91,1077,7631,High
Lira,Eastern,431390,7,19,141,590,25218,68,5197,6352,High
Masaka,Northern,814266,63,13,353,514,9477,40,4547,1383,High
Mbarara,Central,461271,27,196,307,662,16342,58,9017,411,Medium
Mbale,Eastern,730314,15,178,409,524,47010,63,4646,2855,High
Gulu,Eastern,100671,73,93,163,225,34316,91,1110,1528,High
Arua,Northern,764507,44,18,324,412,24100,84,3166,2431,High
Arua,Eastern,256937,46,117,432,131,45166,56,6027,3427,High
Jinja,Eastern,881805,65,73,135,228,41311,68,8312,7057,High
Mbale,Northern,866469,45,16,175,305,35606,70,9254,7147,High
Mbale,Central,338766,55,97,425,562,19398,94,2084,2327,Medium
Lira,Central,93337,73,183,600,332,23677,78,5995,2375,Medium
Mbarara,Central,625190,17,197,442,874,47147,47,5129,1559,High
Gulu,Central,862237,56,105,369,429,26227,71,5618,3064,Medium
Gulu,Northern,607624,71,110,315,156,14462,61,1180,7773,Medium
Mbale,Central,576526,5,151,261,611,28847,65,3605,4899,Medium
Arua,Northern,208498,33,176,264,532,8688,97,4730,7563,Low
Kampala,Eastern,351450,21,170,413,647,18527,85,1202,6520,Medium
Kabale,Western,687198,32,62,336,116,24076,83,9422,7477,Medium
Wakiso,Western,74448,71,23,144,878,21808,53,156,3949,Medium
Gulu,Eastern,338422,69,20,476,624,36866,78,628,524,High
Masaka,Eastern,165915,66,62,321,664,22788,61,8794,4856,Medium
Mbarara,Northern,633638,31,77,569,750,2498,54,2935,432,Low
Masaka,Western,494503,52,21,300,761,6366,77,1941,3477,Low
Mbale,Eastern,287273,12,100,564,357,43611,56,1269,5457,High
Lira,Northern,502280,63,179,485,215,22892,79,3211,1116,Medium
Mbale,Northern,346307,29,24,548,36,29245,89,3339,6673,Medium
Mbarara,Western,260945,76,198,323,785,2001,98,358,713,Low
Jinja,Northern,488215,6,169,570,290,37052,62,2781,4831,High
Jinja,Western,370599,18,16,199,727,23782,66,581,6790,High
Lira,Central,409596,18,44,392,816,31384,71,1455,7668,High
Jinja,Western,549376,21,32,560,596,16965,72,6471,1914,Medium
Jinja,Western,738212,7,54,304,988,34512,67,6393,1518,High
Mbale,Northern,195036,6,33,239,765,38861,74,6308,426,High
Kampala,Central,536237,10,57,567,955,5151,94,5398,2972,Low
Kabale,Eastern,558064,31,6,269,229,23738,64,1804,1003,High
Kabale,Northern,259615,61,121,470,799,4927,76,980,7259,Low
Lira,Northern,469656,35,188,500,728,31414,78,2422,1169,High
Lira,Eastern,115789,35,63,25,421,37598,90,3772,5392,High
Kampala,Northern,148353,30,5,58,497,3690,65,4039,7910,High
Mbarara,Central,633203,78,110,289,62,10554,69,398,4122,Low
Wakiso,Central,246018,23,140,186,650,34062,60,1833,4376,High
Mbale,Central,125642,8,147,107,534,37306,79,9841,6686,High
Masaka,Central,790221,11,174,578,649,19568,69,6603,5694,Medium
Kampala,Northern,75241,28,134,488,233,8505,85,3493,5702,Low
Mbale,Central,692441,16,144,552,380,44910,46,1539,6181,High
Mbarara,Central,144144,52,75,329,336,19880,49,8195,5167,Medium
Kabale,Western,856134,29,6,100,96,3354,47,9910,1952,High
Masaka,Eastern,527755,57,161,235,958,48517,88,1407,7678,High
Kampala,Central,801483,8,176,158,890,28731,91,998,1673,Medium
Kabale,Western,513196,37,185,157,278,20195,94,5809,432,Medium
Jinja,Eastern,149318,25,118,186,989,43361,81,7854,6445,High
Kabale,Western,337515,36,8,442,570,1871,61,3881,4656,High
Jinja,Western,51814,35,92,101,564,11071,46,679,6962,Low
Jinja,Eastern,707433,48,98,85,570,8486,69,2739,1932,Low
Masaka,Central,731511,73,67,437,973,34501,84,1568,5506,High
Mbarara,Northern,351349,6,187,286,461,47411,47,2988,5202,High
Lira,Northern,774186,41,197,420,274,22896,56,553,951,Medium
Mbarara,Western,698315,80,41,91,632,4951,84,6508,2689,Low
Wakiso,Central,815039,13,142,34,95,24191,44,2430,4765,Medium
Wakiso,Eastern,729896,70,181,300,962,29993,51,1739,2288,Medium
Arua,Eastern,478807,27,118,117,901,30687,61,5386,7018,High
Mbarara,Central,456829,33,32,233,842,23486,82,5597,2474,Medium
Kabale,Central,249175,14,27,181,821,43704,82,9717,2755,High
Arua,Northern,97873,23,128,119,876,4251,64,4260,5543,Low
Wakiso,Northern,115068,13,80,35,294,9024,99,5922,3178,Low
Masaka,Northern,195080,52,193,277,399,24501,50,8669,5632,Medium
Wakiso,Northern,884630,26,78,409,974,2471,54,3277,7463,Low
Mbarara,Eastern,433096,35,169,503,289,994,43,1731,5636,Low
Mbale,Western,296219,41,12,503,468,32444,47,1900,3967,High
Masaka,Eastern,148286,56,35,516,511,11891,98,3880,3688,Low
Lira,Central,174057,29,22,292,389,29592,70,4017,7872,Medium
Jinja,Central,124990,70,61,515,782,14647,76,6263,1101,Medium
Kampala,Eastern,600334,12,66,554,194,33955,95,5281,1939,High
Wakiso,Central,550537,38,124,491,823,48428,48,1319,6808,High
Lira,Western,152688,31,76,389,89,8345,85,7881,4145,Low
Arua,Northern,584287,6,165,547,944,2103,81,7805,5827,Low
Kampala,Northern,860091,68,175,162,686,24387,49,6446,6783,Medium
Jinja,Central,435589,28,184,252,36,39687,69,1442,3881,High
Mbarara,Central,349023,61,40,216,331,49581,60,9656,1833,High
Wakiso,Eastern,76241,26,8,388,991,32233,54,1178,4108,High
Jinja,Eastern,755263,32,164,241,217,31330,52,5177,6625,High
Lira,Western,287274,46,13,436,201,22989,66,476,4857,High
Jinja,Northern,300015,5,44,284,641,30263,70,9305,4688,High
Mbale,Northern,323755,35,148,143,300,27764,49,2345,4477,Medium
Gulu,Western,839872,12,47,259,452,11477,45,9694,6912,Low
Lira,Eastern,315475,77,174,248,900,10380,87,4506,7916,Low
Mbale,Central,104096,60,31,37,945,19481,44,4834,6372,Medium
Gulu,Northern,490492,14,140,405,889,20178,91,8501,4976,Medium
Wakiso,Eastern,305585,68,173,563,620,45052,91,6154,7562,High
Masaka,Northern,507171,14,156,279,604,25534,51,4288,5471,Medium
Mbarara,Eastern,434059,72,70,95,737,49080,43,7828,1939,High
Jinja,Central,516508,65,92,204,496,21751,90,3915,3727,Medium
Wakiso,Northern,618897,57,107,157,941,49471,54,6175,6223,High
Jinja,Eastern,745558,68,98,150,247,42429,53,4458,1126,High
Kampala,Northern,475868,58,170,99,500,38665,69,5540,4926,High
Masaka,Western,411867,60,85,199,850,32068,84,388,5741,High
Gulu,Eastern,437665,19,166,319,875,36560,81,3442,5398,High
Mbarara,Northern,437149,43,171,281,187,4742,78,7553,7160,Low
Kabale,Central,257950,6,157,567,442,48054,75,4563,438,High
Wakiso,Central,231631,15,183,274,24,11876,54,2959,2371,Low
Mbarara,Central,75104,19,26,110,223,10239,70,5594,800,Low
Masaka,Western,385711,42,111,510,915,17442,61,1000,7795,Medium
Wakiso,Western,220351,38,28,84,659,3929,84,4408,1279,Low
Jinja,Western,576133,67,41,212,639,37224,91,939,6354,High
Gulu,Eastern,453947,42,188,37,254,20906,91,1282,6769,Medium
Lira,Central,118825,80,43,215,832,46883,68,7774,6682,High
Mbarara,Central,745682,65,149,465,161,1361,52,9643,1967,Low
Wakiso,Eastern,302625,38,133,453,554,35440,61,1035,453,High
Mbarara,Central,281713,70,79,236,675,47546,84,7542,5235,High
Mbarara,Northern,264578,44,174,287,154,10811,43,3807,3992,Low
Jinja,Western,465779,45,138,333,76,40425,60,1560,2604,High
Kampala,Western,588697,35,43,199,974,41750,96,4116,3982,High
Kampala,Northern,386152,20,134,553,910,24278,83,7906,4535,Medium
Arua,Central,161375,13,164,416,467,32188,44,4238,6782,High
Masaka,Northern,521467,45,127,448,808,46713,63,8865,3860,High
Jinja,Central,160046,63,27,305,156,2949,94,9234,1256,Low
Wakiso,Eastern,767288,9,81,90,892,49696,82,5683,3782,High
Masaka,Central,201863,55,183,116,753,48734,43,622,2559,High
Gulu,Central,784168,14,85,187,858,35355,78,6757,1585,High
Mbarara,Northern,455666,59,186,366,391,8578,97,4078,3952,Low
Masaka,Central,146139,38,194,415,504,15342,51,9996,6842,Medium
Arua,Eastern,462301,30,192,152,786,13191,98,8145,1076,Medium
Masaka,Western,891127,36,12,281,545,31250,92,2533,7200,High
Kabale,Western,378668,27,191,369,719,12789,82,6955,661,Medium
Kampala,Northern,652818,49,7,280,641,3079,97,714,7998,High
Jinja,Northern,383226,39,98,328,403,40990,62,6562,3298,High
Arua,Central,288176,6,178,440,794,42168,89,9389,6389,High
Mbarara,Central,813428,26,198,174,852,20605,56,8366,5573,Medium
Jinja,Eastern,508220,44,39,265,572,47243,61,998,3028,High
Gulu,Western,862003,22,195,575,688,3645,90,9074,3933,Low
Jinja,Eastern,870939,64,196,239,766,22811,63,4185,724,Medium
Wakiso,Central,393026,8,11,252,398,5130,79,1208,4278,High
Kampala,Northern,534513,56,84,508,996,25279,59,9548,4054,Medium
Jinja,Western,819377,44,194,380,607,7439,78,9725,6992,Low
Masaka,Central,557537,62,111,32,921,44116,54,3506,1907,High
Jinja,Western,740793,20,172,55,492,39223,76,7183,393,High
Gulu,Eastern,146820,28,139,317,860,34263,90,5942,1031,High
Mbarara,Central,279646,51,193,463,181,25442,80,1361,7816,Medium
Mbale,Northern,393157,43,89,547,769,12743,71,9059,6361,Medium
Masaka,Central,750913,23,159,407,871,37272,97,2788,1701,High
Kampala,Central,646745,51,18,76,232,33589,41,8331,7172,High
Mbarara,Eastern,211941,76,59,167,176,41857,68,598,3672,High
Gulu,Western,683501,40,64,450,241,34134,80,7772,643,High
Wakiso,Central,891676,48,188,189,786,16035,74,4288,2101,Medium
Masaka,Northern,293433,27,56,132,787,30800,85,9834,6021,High
Mbarara,Western,495026,70,18,520,986,613,68,1514,7315,High
Wakiso,Eastern,199010,45,122,195,674,14685,74,5605,3544,Medium
Mbarara,Northern,288736,25,109,385,653,29072,59,5179,1526,Medium
Mbarara,Eastern,139112,23,54,343,147,33566,58,3108,3621,High
Lira,Eastern,856039,80,129,504,987,18659,70,8595,1821,Medium
Lira,Northern,574470,26,64,95,380,46463,64,1240,3504,High
Wakiso,Western,819708,59,90,380,741,45765,93,6521,5487,High
Gulu,Eastern,650385,75,6,62,889,48240,70,5907,4368,High
Mbale,Eastern,699858,43,45,587,688,43933,87,164,7976,High
Gulu,Western,760779,56,88,244,368,10750,75,9142,3497,Low
Gulu,Western,171024,22,11,350,845,31932,68,8221,2450,High
Jinja,Central,416833,75,141,352,674,31755,47,5549,2285,High
Mbale,Western,67571,52,104,88,391,41678,74,296,2459,High
Jinja,Western,569080,25,181,406,42,5462,52,3535,687,Low
Gulu,Northern,376237,34,61,78,467,17790,47,1854,7957,Medium
Gulu,Central,860440,24,116,217,60,49524,71,6420,3658,High
Wakiso,Northern,675991,21,82,59,106,4166,50,2135,519,Low
Kampala,Western,792692,26,33,494,185,7519,51,3335,5191,Low
Jinja,Northern,428159,20,116,353,420,27305,56,7409,2105,Medium
Lira,Central,755996,27,47,204,934,10477,90,5851,5328,Low
Kampala,Eastern,605968,9,117,580,829,38228,40,7498,3796,High
Kampala,Western,742261,55,135,171,900,3653,98,9288,4431,Low
Gulu,Eastern,233548,54,45,24,532,46487,72,191,7117,High
Jinja,Eastern,789842,29,150,409,765,43930,66,5568,4128,High
Kabale,Northern,381712,53,53,295,945,14325,90,170,4950,Medium
Jinja,Western,723697,76,72,364,182,38092,94,9046,4203,High
Arua,Central,565941,10,43,458,799,5914,76,6888,7631,Low
Arua,Eastern,789261,5,27,156,125,25170,57,1962,5165,Medium
Mbale,Eastern,811660,37,25,479,684,24640,46,684,4245,Medium
Arua,Northern,118198,38,76,399,230,33786,100,8305,4517,High
Mbale,Western,528377,45,107,504,141,3536,87,2473,6846,Low
Arua,Central,681159,74,193,154,380,42237,94,6268,7227,High
Mbarara,Western,580980,9,118,509,46,6194,45,663,1964,Low
Lira,Eastern,803607,15,191,317,371,40395,51,2338,5485,High
Wakiso,Northern,574441,38,91,188,187,15122,70,3767,2249,Medium
Arua,Central,281898,25,161,329,809,4634,80,6377,4565,Low
Kabale,Eastern,272551,17,111,500,844,20996,83,1090,6300,Medium
Mbale,Northern,734282,64,128,562,220,17460,50,8630,5802,Medium
Wakiso,Western,474823,26,40,501,500,32819,99,4488,4813,High
Jinja,Central,630947,68,200,356,186,22966,96,1662,3212,Medium
Mbale,Central,197155,68,154,309,358,25733,76,9069,1659,Medium
Jinja,Central,383278,31,122,146,999,19127,69,6153,4812,Medium
Jinja,Eastern,714817,30,144,199,388,12842,78,3219,2659,Medium
Arua,Northern,793748,80,21,450,30,14238,75,1261,1885,Medium
Masaka,Central,839794,35,176,133,720,19288,99,1750,1782,Medium
Kabale,Central,329515,11,114,109,307,21012,97,9413,5878,Medium
Kampala,Eastern,417030,80,141,205,33,38058,52,3036,7623,High
Mbarara,Central,270799,20,73,547,999,21700,83,6393,3518,Medium
Kampala,Central,675539,59,33,296,546,10194,67,6067,7333,Low
Kampala,Central,107093,59,164,564,689,25744,50,6191,6147,Medium
Jinja,Northern,426438,52,70,576,165,11154,50,2584,1423,Low
Wakiso,Central,217809,44,133,600,608,6795,75,8235,3580,Low
Lira,Central,812787,12,65,452,163,16015,99,194,2181,Medium
Jinja,Northern,861178,16,127,416,459,22488,70,781,2021,Medium
Kampala,Eastern,577529,35,14,205,222,5054,56,1446,6540,High
Jinja,Central,405276,15,113,335,95,34065,89,7422,2201,High
Gulu,Northern,370176,60,88,128,743,34155,67,2819,5009,High
Kampala,Eastern,178369,25,165,79,311,33719,42,5594,591,High
Wakiso,Northern,585444,56,48,254,705,14228,67,4342,5616,Medium
Lira,Central,301831,64,5,248,697,26607,46,3350,3541,High
Wakiso,Western,432024,47,68,292,697,44452,61,3746,510,High
Mbale,Eastern,771867,60,22,179,106,5117,43,8996,1772,Low
Arua,Central,451012,69,179,520,279,13215,46,8220,4809,Medium
Lira,Western,116545,80,126,149,164,4898,70,7265,1240,Low
Kampala,Northern,656225,10,188,96,135,21605,55,980,2010,Medium
Kabale,Western,414877,26,183,395,436,47175,92,4637,1525,High
Lira,Eastern,238377,5,38,113,576,48086,67,3953,5416,High
Gulu,Western,801664,19,34,409,114,44507,54,159,1453,High
Kampala,Western,138298,44,156,345,887,49582,90,9259,7286,High
Kabale,Eastern,725390,77,141,221,338,34496,53,8012,6159,High
Jinja,Northern,441853,50,135,592,622,15084,79,4645,5602,Medium
Masaka,Northern,578366,7,112,460,700,39677,51,814,4556,High
Arua,Western,174677,62,100,549,507,16816,85,8469,4644,Medium
Mbale,Western,357309,56,186,52,858,17329,70,5353,6189,Medium
Mbarara,Eastern,425333,44,121,388,108,49960,63,3497,6966,High
Mbarara,Eastern,736388,37,167,395,730,1598,57,9085,698,Low
Jinja,Western,479527,9,116,557,931,44422,95,5105,6789,High
Mbarara,Western,403280,65,32,210,519,7190,63,3328,2410,Low
Lira,Central,796648,21,91,450,908,29286,58,7001,1472,Medium
Jinja,Northern,722542,28,187,181,380,18911,43,4120,2915,Medium
Kampala,Northern,106516,59,113,216,175,25052,72,2055,1112,Medium
Arua,Eastern,585309,55,157,281,40,26187,64,3144,3307,Medium
Kampala,Western,169610,46,90,149,715,2798,79,3187,1894,Low
Kampala,Northern,358064,17,56,266,258,31386,77,9515,7425,High
Jinja,Central,88164,78,88,548,679,39949,45,8456,3970,High
Wakiso,Northern,273147,61,84,446,957,24303,40,3839,1150,Medium
Jinja,Eastern,302055,59,67,361,621,16265,64,721,4457,Medium
Masaka,Western,332256,65,187,510,499,1392,43,6331,3984,Low
Mbarara,Northern,865713,65,145,416,183,7355,56,7315,7890,Low
Wakiso,Western,534290,32,182,22,89,6627,97,1590,1705,Low
Jinja,Central,503602,57,134,486,316,46504,62,8555,3218,High
Gulu,Central,585403,72,131,136,400,19521,95,8964,1916,Medium
Mbarara,Eastern,425153,47,159,592,596,18454,58,1483,5263,Medium
Jinja,Central,433817,73,169,355,160,22024,83,1966,2973,Medium
Gulu,Eastern,73765,51,61,431,23,11115,82,3339,5645,Low
Masaka,Eastern,428231,56,71,258,196,46669,69,2796,7015,High
Jinja,Central,80156,53,61,348,718,26811,83,791,4271,Medium
Masaka,Eastern,889758,30,143,197,89,42786,51,3151,2319,High
Masaka,Northern,786244,26,173,541,910,21077,58,9121,4576,Medium
Gulu,Eastern,818305,19,39,300,336,20227,83,3395,4674,Medium
Kabale,Northern,754506,61,195,347,600,8775,88,6064,4243,Low
Lira,Northern,112276,18,25,53,626,45647,72,2518,2391,High
Wakiso,Northern,596008,7,9,255,470,6197,93,7537,4564,High
Mbarara,Northern,262899,45,167,366,637,2206,48,5614,3253,Low
Wakiso,Central,73559,20,17,183,738,19674,82,4666,2663,High
Wakiso,Northern,511571,40,146,25,850,4360,86,4790,2064,Low
Arua,Central,743372,75,128,166,411,46330,74,7702,3285,High
Lira,Northern,281163,40,74,542,273,9229,84,5107,3444,Low
Kampala,Northern,149587,32,117,397,492,33913,62,8312,4170,High
Kampala,Western,470694,31,45,375,528,48484,98,6752,1480,High
Masaka,Northern,495712,28,125,538,234,13466,81,4175,3094,Medium
Kabale,Central,326494,40,94,144,513,18974,64,9820,4940,Medium
Mbarara,Western,508619,5,82,280,832,9533,75,9152,5127,Low
Kabale,Northern,784723,26,79,117,825,44943,67,7752,3777,High
Mbale,Northern,155615,24,110,196,541,10271,60,3723,5478,Low
Mbale,Eastern,341066,24,30,207,759,38345,93,3212,1520,High
Lira,Northern,511028,69,129,121,37,13557,68,727,7487,Medium
Kabale,Central,614034,60,60,333,665,48139,78,3839,7896,High
Kabale,Northern,729708,49,100,126,511,4775,81,2682,5862,Low
Arua,Northern,314732,75,192,123,81,38022,95,927,1817,High
Mbarara,Northern,138147,37,69,108,289,32570,51,4202,201,High
Arua,Eastern,284017,52,67,443,136,49937,54,235,1137,High
Jinja,Central,524214,67,10,250,234,23484,42,5234,6400,High
Mbale,Eastern,733018,73,105,249,339,27888,44,8490,6328,Medium
Lira,Eastern,663286,72,198,507,301,12176,92,6757,7619,Medium
Mbale,Northern,743019,11,148,240,492,38171,97,4115,4766,High
Masaka,Central,133730,52,115,29,33,17465,80,8099,5377,Medium
Gulu,Northern,542818,21,81,464,749,42151,86,3451,1369,High
Mbale,Central,739753,42,10,411,472,47697,60,8617,5092,High
Mbarara,Western,121184,21,17,100,313,3321,90,4938,2704,High
Masaka,Northern,171188,16,192,89,978,20095,41,6140,5973,Medium
Gulu,Eastern,717610,69,194,444,936,8518,47,8665,4000,Low
Arua,Eastern,515495,54,32,465,967,15445,64,3374,2835,Medium
Lira,Eastern,462284,71,198,589,305,7678,77,791,5538,Low
Lira,Western,262890,24,117,419,801,40447,57,6021,1450,High
Kabale,Northern,496041,24,74,263,145,37255,41,6919,869,High
Kampala,Eastern,745691,43,155,470,747,4633,46,1888,3518,Low
Arua,Central,899988,53,98,149,837,31522,45,358,421,High
Gulu,Northern,719319,15,28,586,219,40107,73,1254,1321,High
Arua,Eastern,512525,37,155,266,340,3574,76,1698,4649,Low
Mbale,Western,676672,12,33,122,458,4694,76,3620,5013,Low
Arua,Eastern,353460,28,152,467,41,18957,69,9695,2865,Medium
Arua,Western,719464,70,26,116,840,34340,71,5677,2074,High
Jinja,Central,381990,70,133,318,756,20689,63,4153,3577,Medium
Masaka,Western,673998,35,116,496,283,40602,91,3442,1305,High
Masaka,Northern,899021,76,8,101,283,46605,51,6004,2322,High
Kabale,Northern,468594,64,49,118,327,43797,91,1811,1710,High
Lira,Eastern,95220,29,105,420,721,28341,52,6237,5660,Medium
Masaka,Western,471893,77,107,547,425,12815,64,2407,4396,Medium
Jinja,Eastern,88410,15,66,97,752,37099,100,2925,7027,High
Jinja,Western,875689,63,126,360,339,39911,63,3113,7119,High
Masaka,Northern,228572,16,44,562,237,31853,61,1778,4497,High
Gulu,Northern,801873,75,62,356,889,19413,59,1445,2391,Medium
Mbarara,Eastern,62672,60,61,409,497,1328,68,6246,6641,Low
Kampala,Central,289520,56,69,266,44,39398,46,7669,6014,High
Mbale,Central,308133,62,78,238,79,24894,76,621,7463,Medium
Wakiso,Central,709207,80,183,516,582,10099,92,6630,1464,Low
Masaka,Eastern,328763,49,107,184,215,6397,85,9489,6638,Low
Jinja,Eastern,253173,42,150,353,68,33329,63,8404,1036,High
Kampala,Western,316542,38,174,300,979,28684,89,8682,3849,Medium
Lira,Eastern,539782,77,86,132,725,41109,51,1957,2233,High
Gulu,Northern,192335,31,131,362,212,22343,86,7401,4148,Medium
Kampala,Northern,110673,27,119,97,88,30158,41,392,7439,High
Lira,Eastern,578676,16,110,257,890,9561,89,920,5002,Low
Mbale,Northern,405869,44,166,523,445,26391,43,8379,276,Medium
Jinja,Central,686292,60,56,246,363,1289,41,1636,7099,Low
Kampala,Eastern,563678,68,100,121,619,25306,77,5270,302,Medium
Mbale,Western,479251,13,132,575,559,25113,46,8160,1002,Medium
Mbale,Central,572228,60,134,45,138,48455,78,7794,7335,High
Arua,Central,685066,58,175,303,704,683,92,7875,7532,Low
Mbarara,Western,654996,64,101,125,323,41699,88,9985,5250,High
Kampala,Western,371825,74,65,600,429,37595,91,577,3726,High
Lira,Northern,703574,66,82,566,66,46699,58,328,1410,High
Jinja,Central,852345,36,12,188,839,17704,55,6345,7058,High
Mbarara,Western,694394,80,41,123,273,29292,73,6419,7996,Medium
Jinja,Northern,892434,62,49,591,812,19433,99,6173,352,Medium
Masaka,Western,884757,68,18,145,187,562,65,9075,5783,High
Wakiso,Western,395519,14,44,408,157,20396,74,762,4954,Medium
Wakiso,Eastern,581941,23,129,143,241,10581,91,5133,2076,Low
Kampala,Central,320836,17,51,468,668,34687,93,5470,7031,High
Gulu,Northern,378766,55,180,168,889,44833,76,7440,2458,High
Arua,Northern,191915,52,43,268,731,46193,41,2096,1852,High
Arua,Central,371216,46,30,308,962,44956,69,8953,1507,High
Lira,Central,147380,49,107,204,185,14090,44,209,948,Medium
Mbale,Central,181807,36,121,73,914,27316,80,7466,1156,Medium
Kampala,Eastern,407199,30,66,466,751,23228,90,7535,4555,Medium
Jinja,Northern,453769,13,79,448,308,19634,87,2021,1954,Medium
Mbale,Western,515923,41,53,512,330,25393,79,1567,7895,Medium
Wakiso,Eastern,115693,77,118,457,282,32907,56,6572,1044,High
Mbarara,Northern,585983,60,53,26,512,25559,93,5719,3281,Medium
Wakiso,Central,461454,24,83,440,547,8905,58,5416,3853,Low
Lira,Western,862427,80,127,162,197,17143,80,8296,7347,Medium
Kampala,Eastern,793782,8,75,569,859,33070,63,3600,3698,High
Kampala,Eastern,481075,30,183,114,111,42242,54,5181,3273,High
Mbarara,Eastern,439645,78,174,485,668,28898,63,6475,1080,Medium
Mbarara,Central,373492,71,34,477,798,27607,82,5850,4872,Medium
Mbale,Northern,301511,80,134,575,456,22094,56,6416,2783,Medium
Lira,Eastern,88974,68,149,543,231,43855,43,2707,661,High
Jinja,Western,870482,15,60,262,530,20074,68,8906,3553,Medium
Masaka,Central,94622,13,49,232,725,6555,64,2603,7728,Low
Masaka,Western,429027,13,41,586,352,43382,67,3776,1218,High
Kampala,Central,560753,46,13,432,660,48136,57,6184,3851,High
Mbarara,Western,244961,64,51,183,855,30207,100,5794,6418,High
Gulu,Eastern,849569,76,21,215,330,24263,83,4580,4562,Medium
Mbarara,Central,631870,47,103,256,654,21401,40,255,3842,Medium
Mbale,Western,366162,68,64,245,325,14160,86,5834,4796,Medium
Lira,Western,780563,53,26,30,609,49802,41,9753,4666,High
Mbale,Western,572060,31,116,583,632,14221,71,699,4046,Medium
Mbarara,Western,544741,5,182,285,319,44122,84,2343,5413,High
Lira,Northern,348910,73,130,208,766,13458,59,6623,3009,Medium
Kampala,Central,361206,49,191,217,611,10117,51,6881,6193,Low
Arua,Central,441609,80,42,118,330,16997,88,8537,3587,Medium
Arua,Eastern,347137,76,92,281,694,48257,40,3741,2904,High
Mbarara,Western,867317,30,115,289,939,22926,41,5161,2509,Medium
Kampala,Western,194014,32,98,139,673,24566,61,2058,4362,Medium
Gulu,Eastern,312226,16,153,476,530,20490,63,8716,4437,Medium
Kampala,Western,491173,38,148,205,506,33191,61,2297,2200,High
Arua,Central,296963,36,68,54,221,46413,73,4002,1271,High
Masaka,Eastern,417574,68,100,79,216,44089,80,3878,3683,High
Masaka,Eastern,246788,10,187,371,62,6104,57,5822,1164,Low
Lira,Northern,588048,72,49,118,549,41328,49,6260,1236,High
Arua,Northern,660966,47,125,100,974,31868,61,6620,1897,High
Jinja,Central,565281,67,56,223,578,33439,100,2023,5845,High
Lira,Northern,679966,17,91,173,124,12981,90,9253,6124,Medium
Jinja,Western,767924,15,110,126,788,35943,42,4967,7846,High
Mbale,Eastern,544485,39,92,328,854,36225,93,513,1736,High
Lira,Northern,133031,31,93,455,212,48154,100,1140,5682,High
Wakiso,Central,685361,21,9,559,966,32496,68,9848,5612,High
Arua,Western,80640,57,149,297,560,3195,57,2339,3979,Low
Mbarara,Northern,304926,23,12,296,154,32397,66,6028,7953,High
Kampala,Eastern,489499,12,134,126,530,38805,93,792,3519,High
Gulu,Eastern,858580,67,49,168,816,34069,65,2253,4325,High
Mbale,Western,329064,15,66,138,490,42933,63,9436,1002,High
Masaka,Northern,592915,32,40,36,114,22028,54,5231,2071,Medium
Wakiso,Central,488470,28,13,114,962,31796,70,3556,6414,High
